invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,age_group,month
I129210,C194879,Male,58,Cosmetics,1,40.66,Debit Card,19-02-23,Istinye Park,40.66,56-65,February
I183238,C253371,Female,18,Shoes,4,2400.68,Credit Card,10-06-21,Forum Istanbul,9602.72,<18,June
I166724,C450614,Female,68,Books,1,15.15,Credit Card,18-07-21,Cevahir AVM,15.15,65+,July
I284767,C108453,Female,66,Clothing,5,1500.4,Debit Card,21-04-21,Metropol AVM,7502,65+,April
I179568,C165502,Female,51,Clothing,5,1500.4,Cash,14-09-22,Metropol AVM,7502,46-55,September
I204099,C330761,Female,52,Food & Beverage,5,26.15,Debit Card,10-03-22,Mall of Istanbul,130.75,46-55,March
I220441,C264813,Female,55,Clothing,1,300.08,Credit Card,16-03-22,Kanyon,300.08,46-55,March
I200292,C169373,Female,37,Clothing,1,300.08,Debit Card,25-07-22,Mall of Istanbul,300.08,36-45,July
I147523,C128865,Male,31,Clothing,5,1500.4,Cash,14-01-23,Viaport Outlet,7502,26-35,January
I189439,C313460,Female,68,Clothing,5,1500.4,Cash,30-01-23,Metropol AVM,7502,65+,January
I985946,C920228,Male,33,Souvenir,4,46.92,Credit Card,13-02-22,Mall of Istanbul,187.68,26-35,February
I517155,C281484,Female,22,Souvenir,4,46.92,Debit Card,30-06-22,Metropol AVM,187.68,18-25,June
I255151,C282659,Female,22,Shoes,2,1200.34,Cash,28-08-21,Emaar Square Mall,2400.68,18-25,August
I303516,C372492,Male,26,Shoes,4,2400.68,Cash,24-01-22,Cevahir AVM,9602.72,26-35,January
I110580,C267032,Female,65,Food & Beverage,4,20.92,Credit Card,13-03-21,Viaport Outlet,83.68,56-65,March
I298623,C568592,Female,31,Cosmetics,2,81.32,Cash,01-07-22,Istinye Park,162.64,26-35,July
I193485,C159471,Male,57,Clothing,1,300.08,Debit Card,17-06-21,Metrocity,300.08,56-65,June
I830842,C973123,Female,53,Cosmetics,5,203.3,Cash,15-06-21,Viaport Outlet,1016.5,46-55,June
I575978,C967636,Female,43,Clothing,2,600.16,Cash,01-05-22,Metrocity,1200.32,36-45,May
I106514,C460358,Female,65,Clothing,2,600.16,Cash,15-01-23,Kanyon,1200.32,56-65,January
I444846,C659211,Female,37,Toys,1,35.84,Credit Card,04-01-23,Cevahir AVM,35.84,36-45,January
I111369,C114451,Female,60,Books,2,30.3,Credit Card,22-06-22,Kanyon,60.6,56-65,June
I133619,C174292,Female,55,Clothing,4,1200.32,Credit Card,30-01-22,Forum Istanbul,4801.28,46-55,January
I265600,C198408,Male,21,Books,1,15.15,Cash,22-08-22,Metropol AVM,15.15,18-25,August
I993532,C189298,Female,37,Cosmetics,3,121.98,Cash,18-10-21,Viaport Outlet,365.94,36-45,October
I249893,C242209,Female,20,Clothing,4,1200.32,Cash,01-03-21,Metrocity,4801.28,18-25,March
I208219,C327421,Female,31,Clothing,3,900.24,Debit Card,03-09-21,Kanyon,2700.72,26-35,September
I260192,C309164,Female,35,Food & Beverage,4,20.92,Debit Card,29-08-22,Forum Istanbul,83.68,26-35,August
I445727,C113104,Female,43,Cosmetics,1,40.66,Cash,06-09-22,Mall of Istanbul,40.66,36-45,September
I182762,C121954,Male,23,Food & Beverage,1,5.23,Credit Card,13-07-21,Istinye Park,5.23,18-25,July
I241461,C365518,Female,21,Cosmetics,3,121.98,Credit Card,11-09-21,Kanyon,365.94,18-25,September
I279159,C151644,Male,39,Food & Beverage,2,10.46,Debit Card,26-04-21,Emaar Square Mall,20.92,36-45,April
I273620,C172622,Male,22,Food & Beverage,3,15.69,Cash,11-01-23,Metropol AVM,47.07,18-25,January
I301912,C199544,Female,33,Cosmetics,3,121.98,Debit Card,08-08-21,Emaar Square Mall,365.94,26-35,August
I629808,C254328,Male,64,Clothing,2,600.16,Credit Card,19-12-21,Metrocity,1200.32,56-65,December
I354301,C239076,Female,61,Cosmetics,4,162.64,Debit Card,05-02-22,Zorlu Center,650.56,56-65,February
I144067,C187306,Male,55,Cosmetics,5,203.3,Credit Card,05-02-22,Forum Istanbul,1016.5,46-55,February
I133553,C160315,Male,66,Toys,3,107.52,Credit Card,21-09-22,Mall of Istanbul,322.56,65+,September
I157690,C119015,Female,32,Souvenir,5,58.65,Credit Card,13-01-23,Istinye Park,293.25,26-35,January
I104081,C189700,Female,62,Toys,1,35.84,Cash,24-03-22,Zorlu Center,35.84,56-65,March
I659173,C207664,Female,34,Clothing,4,1200.32,Credit Card,05-03-23,Kanyon,4801.28,26-35,March
I299398,C331268,Female,50,Technology,1,1050,Cash,26-09-22,Mall of Istanbul,1050,46-55,September
I214141,C239153,Female,59,Toys,2,71.68,Cash,05-03-23,Metropol AVM,143.36,56-65,March
I106806,C104230,Female,21,Food & Beverage,1,5.23,Debit Card,31-07-22,Metropol AVM,5.23,18-25,July
I337549,C567794,Female,37,Clothing,3,900.24,Cash,18-03-21,Zorlu Center,2700.72,36-45,March
I789830,C277236,Female,42,Shoes,3,1800.51,Credit Card,29-08-21,Mall of Istanbul,5401.53,36-45,August
I224218,C340013,Female,36,Clothing,1,300.08,Credit Card,23-01-21,Cevahir AVM,300.08,36-45,January
I809958,C190593,Female,29,Food & Beverage,3,15.69,Debit Card,02-11-22,Metropol AVM,47.07,26-35,November
I565499,C205684,Female,30,Clothing,4,1200.32,Credit Card,05-05-21,Istinye Park,4801.28,26-35,May
I132746,C131583,Female,49,Clothing,4,1200.32,Credit Card,19-01-23,Zorlu Center,4801.28,46-55,January
I860168,C215505,Male,26,Shoes,3,1800.51,Credit Card,10-07-22,Mall of Istanbul,5401.53,26-35,July
I338768,C296831,Male,23,Technology,2,2100,Debit Card,17-07-22,Mall of Istanbul,4200,18-25,July
I228735,C167187,Female,47,Clothing,3,900.24,Credit Card,28-12-21,Emaar Square Mall,2700.72,46-55,December
I422223,C299401,Female,36,Books,2,30.3,Credit Card,08-01-22,Metrocity,60.6,36-45,January
I104182,C140125,Female,41,Toys,4,143.36,Debit Card,26-06-21,Mall of Istanbul,573.44,36-45,June
I333779,C322934,Female,34,Clothing,4,1200.32,Debit Card,11-02-22,Viaport Outlet,4801.28,26-35,February
I536525,C113002,Female,41,Technology,2,2100,Debit Card,17-12-22,Metropol AVM,4200,36-45,December
I447394,C273112,Female,38,Toys,2,71.68,Debit Card,28-06-21,Metropol AVM,143.36,36-45,June
I963785,C108027,Male,24,Clothing,2,600.16,Debit Card,30-04-22,Cevahir AVM,1200.32,18-25,April
I237029,C171155,Female,36,Cosmetics,3,121.98,Credit Card,11-05-21,Metrocity,365.94,36-45,May
I282420,C283244,Female,22,Food & Beverage,1,5.23,Credit Card,29-04-22,Metrocity,5.23,18-25,April
I182477,C135453,Female,21,Food & Beverage,1,5.23,Credit Card,05-09-21,Metrocity,5.23,18-25,September
I786465,C324804,Male,20,Clothing,5,1500.4,Credit Card,26-05-22,Mall of Istanbul,7502,18-25,May
I375893,C758636,Male,47,Technology,1,1050,Cash,09-07-22,Metrocity,1050,46-55,July
I337263,C247185,Female,53,Clothing,3,900.24,Cash,30-04-22,Kanyon,2700.72,46-55,April
I317411,C761191,Male,49,Cosmetics,2,81.32,Credit Card,27-01-23,Zorlu Center,162.64,46-55,January
I982191,C228302,Female,48,Clothing,4,1200.32,Debit Card,06-01-21,Istinye Park,4801.28,46-55,January
I166754,C641378,Female,67,Clothing,3,900.24,Credit Card,22-02-23,Metrocity,2700.72,65+,February
I268587,C848338,Female,19,Toys,2,71.68,Cash,20-01-21,Kanyon,143.36,18-25,January
I764043,C431166,Female,37,Cosmetics,2,81.32,Cash,08-10-22,Istinye Park,162.64,36-45,October
I272244,C281044,Male,58,Food & Beverage,3,15.69,Credit Card,09-09-22,Zorlu Center,47.07,56-65,September
I208117,C202915,Male,18,Shoes,5,3000.85,Cash,19-01-21,Kanyon,15004.25,<18,January
I249397,C290245,Male,68,Clothing,4,1200.32,Cash,22-08-22,Mall of Istanbul,4801.28,65+,August
I124319,C147855,Male,21,Clothing,4,1200.32,Cash,18-10-21,Mall of Istanbul,4801.28,18-25,October
I310522,C290994,Female,38,Food & Beverage,2,10.46,Credit Card,11-06-21,Zorlu Center,20.92,36-45,June
I176976,C100574,Female,27,Clothing,2,600.16,Credit Card,24-03-22,Kanyon,1200.32,26-35,March
I408613,C978970,Female,27,Clothing,5,1500.4,Cash,29-08-22,Metropol AVM,7502,26-35,August
I631631,C203009,Male,43,Shoes,4,2400.68,Debit Card,14-02-21,Mall of Istanbul,9602.72,36-45,February
I324689,C154311,Female,19,Toys,1,35.84,Cash,09-08-21,Istinye Park,35.84,18-25,August
I213633,C108659,Male,23,Shoes,2,1200.34,Credit Card,17-07-22,Metrocity,2400.68,18-25,July
I236451,C303509,Female,53,Shoes,4,2400.68,Credit Card,24-11-21,Metrocity,9602.72,46-55,November
I357634,C897121,Male,67,Shoes,4,2400.68,Credit Card,23-01-22,Mall of Istanbul,9602.72,65+,January
I269159,C422309,Female,59,Clothing,4,1200.32,Credit Card,30-11-21,Mall of Istanbul,4801.28,56-65,November
I490557,C292025,Female,40,Cosmetics,2,81.32,Cash,03-04-22,Kanyon,162.64,36-45,April
I678866,C139087,Male,26,Clothing,4,1200.32,Credit Card,22-10-22,Cevahir AVM,4801.28,26-35,October
I134701,C457991,Female,65,Clothing,2,600.16,Cash,05-07-22,Istinye Park,1200.32,56-65,July
I151090,C332037,Male,58,Clothing,3,900.24,Credit Card,21-06-22,Istinye Park,2700.72,56-65,June
I761181,C279707,Female,56,Shoes,1,600.17,Credit Card,01-12-22,Kanyon,600.17,56-65,December
I242430,C673130,Female,36,Souvenir,2,23.46,Cash,10-08-21,Kanyon,46.92,36-45,August
I231491,C308447,Female,29,Souvenir,5,58.65,Credit Card,06-09-21,Mall of Istanbul,293.25,26-35,September
I435596,C134767,Male,45,Clothing,4,1200.32,Credit Card,03-10-22,Metropol AVM,4801.28,36-45,October
I161235,C124053,Female,69,Clothing,5,1500.4,Cash,25-06-21,Mall of Istanbul,7502,65+,June
I275715,C274336,Male,26,Clothing,3,900.24,Cash,03-09-21,Cevahir AVM,2700.72,26-35,September
I539579,C107474,Female,35,Technology,5,5250,Debit Card,26-11-21,Mall of Istanbul,26250,26-35,November
I129418,C178244,Female,69,Clothing,1,300.08,Cash,31-12-22,Zorlu Center,300.08,65+,December
I145319,C631621,Male,47,Technology,4,4200,Cash,11-03-21,Kanyon,16800,46-55,March
I319729,C124604,Female,38,Toys,2,71.68,Debit Card,28-02-21,Kanyon,143.36,36-45,February
I175091,C175983,Male,40,Technology,2,2100,Credit Card,15-11-22,Metrocity,4200,36-45,November
I414415,C275937,Male,29,Food & Beverage,3,15.69,Cash,01-04-22,Mall of Istanbul,47.07,26-35,April
I230824,C209004,Male,52,Clothing,3,900.24,Credit Card,15-08-22,Metrocity,2700.72,46-55,August
I335963,C133600,Female,40,Clothing,3,900.24,Cash,10-01-22,Viaport Outlet,2700.72,36-45,January
I315782,C108171,Female,56,Clothing,1,300.08,Cash,22-03-21,Emaar Square Mall,300.08,56-65,March
I355844,C297275,Male,25,Souvenir,3,35.19,Cash,15-10-22,Kanyon,105.57,18-25,October
I306350,C253617,Female,32,Cosmetics,1,40.66,Credit Card,24-06-22,Kanyon,40.66,26-35,June
I962718,C972612,Male,47,Shoes,3,1800.51,Credit Card,22-07-21,Metropol AVM,5401.53,46-55,July
I148791,C315205,Female,51,Toys,5,179.2,Credit Card,23-02-22,Forum Istanbul,896,46-55,February
I125755,C335387,Female,64,Clothing,3,900.24,Cash,01-01-22,Istinye Park,2700.72,56-65,January
I114587,C263215,Female,57,Cosmetics,5,203.3,Cash,07-04-22,Metropol AVM,1016.5,56-65,April
I241259,C764179,Male,48,Cosmetics,4,162.64,Cash,29-08-21,Mall of Istanbul,650.56,46-55,August
I470008,C265606,Female,35,Clothing,4,1200.32,Credit Card,02-05-21,Metropol AVM,4801.28,26-35,May
I199513,C574589,Male,39,Clothing,1,300.08,Credit Card,22-01-21,Mall of Istanbul,300.08,36-45,January
I161703,C175247,Female,61,Shoes,5,3000.85,Cash,14-02-23,Istinye Park,15004.25,56-65,February
I504360,C830121,Female,41,Clothing,5,1500.4,Credit Card,02-12-21,Viaport Outlet,7502,36-45,December
I258549,C214143,Female,65,Food & Beverage,1,5.23,Cash,06-01-21,Istinye Park,5.23,56-65,January
I266976,C888018,Female,44,Clothing,2,600.16,Credit Card,03-02-21,Viaport Outlet,1200.32,36-45,February
I883327,C988090,Male,59,Toys,5,179.2,Credit Card,01-05-21,Istinye Park,896,56-65,May
I245471,C172210,Male,37,Food & Beverage,1,5.23,Debit Card,04-12-21,Kanyon,5.23,36-45,December
I323770,C460006,Female,34,Cosmetics,1,40.66,Cash,06-08-21,Mall of Istanbul,40.66,26-35,August
I180519,C111181,Male,69,Cosmetics,2,81.32,Credit Card,22-02-22,Metrocity,162.64,65+,February
I221865,C171247,Female,64,Shoes,5,3000.85,Credit Card,01-03-22,Zorlu Center,15004.25,56-65,March
I434141,C301563,Male,54,Clothing,1,300.08,Cash,29-06-21,Mall of Istanbul,300.08,46-55,June
I200848,C322720,Female,49,Clothing,5,1500.4,Cash,05-09-21,Cevahir AVM,7502,46-55,September
I214117,C172348,Female,57,Food & Beverage,4,20.92,Credit Card,23-03-22,Metrocity,83.68,56-65,March
I207336,C270996,Male,60,Technology,4,4200,Cash,07-12-21,Forum Istanbul,16800,56-65,December
I132516,C129962,Female,40,Toys,5,179.2,Cash,14-01-23,Viaport Outlet,896,36-45,January
I106477,C266401,Male,27,Cosmetics,1,40.66,Cash,07-10-21,Metrocity,40.66,26-35,October
I126110,C263348,Female,51,Food & Beverage,2,10.46,Cash,20-10-21,Kanyon,20.92,46-55,October
I132502,C159509,Male,64,Food & Beverage,2,10.46,Credit Card,06-04-21,Mall of Istanbul,20.92,56-65,April
I336606,C239271,Female,54,Books,3,45.45,Debit Card,07-09-21,Cevahir AVM,136.35,46-55,September
I412106,C413655,Female,51,Shoes,2,1200.34,Cash,13-06-22,Metropol AVM,2400.68,46-55,June
I184640,C307276,Male,26,Souvenir,5,58.65,Debit Card,12-07-21,Kanyon,293.25,26-35,July
I130609,C331234,Female,48,Toys,3,107.52,Credit Card,17-08-21,Istinye Park,322.56,46-55,August
I313337,C495616,Male,44,Cosmetics,1,40.66,Cash,01-06-22,Kanyon,40.66,36-45,June
I201646,C180967,Female,47,Food & Beverage,3,15.69,Cash,25-05-22,Viaport Outlet,47.07,46-55,May
I101546,C121708,Female,45,Shoes,2,1200.34,Credit Card,18-02-23,Metrocity,2400.68,36-45,February
I122798,C310757,Female,44,Cosmetics,3,121.98,Cash,21-09-21,Metrocity,365.94,36-45,September
I177591,C772220,Female,36,Clothing,4,1200.32,Cash,25-06-21,Metrocity,4801.28,36-45,June
I513639,C234602,Female,34,Technology,2,2100,Credit Card,02-06-21,Kanyon,4200,26-35,June
I308029,C224774,Male,57,Clothing,5,1500.4,Cash,02-03-23,Metrocity,7502,56-65,March
I229954,C138560,Female,60,Toys,2,71.68,Cash,15-07-21,Istinye Park,143.36,56-65,July
I490297,C269918,Male,63,Clothing,4,1200.32,Cash,03-06-21,Metrocity,4801.28,56-65,June
I248587,C631049,Female,69,Cosmetics,3,121.98,Cash,18-05-22,Mall of Istanbul,365.94,65+,May
I138134,C318063,Male,36,Food & Beverage,1,5.23,Debit Card,19-10-22,Zorlu Center,5.23,36-45,October
I737843,C482206,Female,18,Cosmetics,5,203.3,Debit Card,30-05-21,Viaport Outlet,1016.5,<18,May
I121669,C771083,Female,32,Clothing,5,1500.4,Debit Card,29-01-23,Kanyon,7502,26-35,January
I116954,C136894,Male,62,Shoes,2,1200.34,Debit Card,28-01-23,Viaport Outlet,2400.68,56-65,January
I228236,C210547,Male,67,Shoes,3,1800.51,Cash,18-08-22,Metrocity,5401.53,65+,August
I317484,C584340,Female,27,Clothing,2,600.16,Cash,03-12-22,Forum Istanbul,1200.32,26-35,December
I555408,C151096,Male,49,Clothing,2,600.16,Debit Card,15-05-21,Metrocity,1200.32,46-55,May
I231644,C125660,Male,28,Cosmetics,1,40.66,Debit Card,16-08-22,Metrocity,40.66,26-35,August
I185588,C934688,Male,27,Food & Beverage,4,20.92,Debit Card,13-11-22,Zorlu Center,83.68,26-35,November
I430431,C107053,Female,46,Food & Beverage,3,15.69,Debit Card,17-12-21,Mall of Istanbul,47.07,46-55,December
I103220,C111229,Male,37,Clothing,2,600.16,Cash,17-04-22,Metropol AVM,1200.32,36-45,April
I250493,C337516,Female,60,Clothing,1,300.08,Credit Card,26-01-23,Cevahir AVM,300.08,56-65,January
I768602,C198740,Female,61,Clothing,1,300.08,Debit Card,01-07-22,Mall of Istanbul,300.08,56-65,July
I293899,C734936,Female,44,Clothing,2,600.16,Credit Card,10-12-21,Viaport Outlet,1200.32,36-45,December
I169004,C250122,Male,44,Toys,3,107.52,Credit Card,08-07-22,Zorlu Center,322.56,36-45,July
I184075,C309466,Female,46,Toys,2,71.68,Credit Card,05-11-21,Kanyon,143.36,46-55,November
I172306,C332186,Male,44,Clothing,1,300.08,Credit Card,13-09-21,Cevahir AVM,300.08,36-45,September
I204036,C180274,Female,59,Food & Beverage,4,20.92,Cash,11-02-23,Metrocity,83.68,56-65,February
I594421,C866109,Female,25,Cosmetics,1,40.66,Cash,19-11-22,Metropol AVM,40.66,18-25,November
I178503,C228293,Male,34,Cosmetics,2,81.32,Cash,16-12-22,Emaar Square Mall,162.64,26-35,December
I224229,C300804,Male,53,Toys,2,71.68,Cash,21-05-22,Mall of Istanbul,143.36,46-55,May
I466046,C293227,Female,19,Clothing,1,300.08,Credit Card,15-12-22,Metrocity,300.08,18-25,December
I732530,C194478,Male,20,Clothing,4,1200.32,Credit Card,04-06-21,Metrocity,4801.28,18-25,June
I161141,C323058,Female,36,Clothing,1,300.08,Cash,23-11-22,Mall of Istanbul,300.08,36-45,November
I233939,C333738,Male,38,Clothing,5,1500.4,Credit Card,24-04-22,Emaar Square Mall,7502,36-45,April
I264580,C309318,Female,22,Cosmetics,4,162.64,Credit Card,12-03-22,Forum Istanbul,650.56,18-25,March
I293664,C231838,Female,31,Clothing,4,1200.32,Credit Card,08-11-21,Mall of Istanbul,4801.28,26-35,November
I277240,C292985,Male,32,Clothing,5,1500.4,Cash,22-04-22,Metropol AVM,7502,26-35,April
I248236,C645893,Female,46,Souvenir,4,46.92,Debit Card,23-01-23,Mall of Istanbul,187.68,46-55,January
I117938,C142271,Male,65,Books,3,45.45,Debit Card,17-02-23,Emaar Square Mall,136.35,56-65,February
I516051,C574310,Male,27,Technology,2,2100,Cash,06-01-21,Kanyon,4200,26-35,January
I165832,C248148,Male,59,Toys,2,71.68,Cash,19-07-22,Metropol AVM,143.36,56-65,July
I576820,C189427,Female,29,Toys,5,179.2,Credit Card,16-12-22,Metrocity,896,26-35,December
I253335,C365335,Male,23,Clothing,2,600.16,Credit Card,07-05-21,Zorlu Center,1200.32,18-25,May
I133383,C251958,Male,53,Food & Beverage,3,15.69,Cash,07-09-22,Mall of Istanbul,47.07,46-55,September
I980237,C157458,Female,38,Clothing,5,1500.4,Cash,01-02-22,Forum Istanbul,7502,36-45,February
I334881,C189366,Male,35,Shoes,4,2400.68,Cash,05-03-21,Kanyon,9602.72,26-35,March
I317444,C135473,Female,49,Clothing,2,600.16,Cash,02-09-22,Kanyon,1200.32,46-55,September
I181587,C212562,Female,28,Cosmetics,5,203.3,Cash,30-01-23,Zorlu Center,1016.5,26-35,January
I296196,C836648,Male,19,Toys,1,35.84,Credit Card,09-04-21,Mall of Istanbul,35.84,18-25,April
I163165,C637037,Female,63,Clothing,5,1500.4,Cash,17-01-23,Kanyon,7502,56-65,January
I256071,C141913,Female,41,Shoes,4,2400.68,Debit Card,22-07-21,Mall of Istanbul,9602.72,36-45,July
I129929,C324133,Female,69,Clothing,2,600.16,Cash,31-03-21,Istinye Park,1200.32,65+,March
I326283,C475749,Female,59,Toys,4,143.36,Cash,02-08-21,Metropol AVM,573.44,56-65,August
I596420,C291525,Female,32,Clothing,5,1500.4,Debit Card,07-10-22,Istinye Park,7502,26-35,October
I627782,C262301,Female,55,Clothing,3,900.24,Credit Card,23-03-22,Forum Istanbul,2700.72,46-55,March
I922003,C334197,Male,58,Clothing,4,1200.32,Debit Card,25-03-22,Metropol AVM,4801.28,56-65,March
I269972,C677605,Male,61,Toys,2,71.68,Cash,24-11-22,Metrocity,143.36,56-65,November
I260804,C623926,Female,62,Cosmetics,1,40.66,Credit Card,23-08-21,Kanyon,40.66,56-65,August
I206210,C416179,Female,62,Souvenir,1,11.73,Credit Card,23-12-22,Kanyon,11.73,56-65,December
I327140,C133828,Male,23,Clothing,4,1200.32,Cash,08-08-22,Zorlu Center,4801.28,18-25,August
I691974,C171918,Female,18,Toys,3,107.52,Debit Card,21-09-22,Metropol AVM,322.56,<18,September
I174882,C310905,Female,45,Clothing,1,300.08,Credit Card,10-07-22,Metrocity,300.08,36-45,July
I263369,C306921,Male,56,Technology,2,2100,Cash,16-05-21,Metrocity,4200,56-65,May
I637336,C220939,Male,53,Cosmetics,4,162.64,Cash,22-03-22,Kanyon,650.56,46-55,March
I277403,C139579,Male,33,Cosmetics,2,81.32,Credit Card,03-03-23,Metrocity,162.64,26-35,March
I110065,C320735,Male,52,Clothing,2,600.16,Cash,07-09-21,Metropol AVM,1200.32,46-55,September
I123455,C115111,Female,32,Toys,2,71.68,Cash,18-11-22,Mall of Istanbul,143.36,26-35,November
I240831,C104634,Male,61,Technology,1,1050,Cash,23-07-21,Metrocity,1050,56-65,July
I178679,C383927,Female,47,Clothing,3,900.24,Cash,07-02-22,Kanyon,2700.72,46-55,February
I430761,C177038,Female,22,Cosmetics,5,203.3,Debit Card,16-06-22,Mall of Istanbul,1016.5,18-25,June
I151127,C315796,Female,41,Shoes,2,1200.34,Cash,06-02-23,Kanyon,2400.68,36-45,February
I279344,C289893,Female,51,Clothing,3,900.24,Cash,23-06-22,Mall of Istanbul,2700.72,46-55,June
I256943,C912878,Female,47,Clothing,3,900.24,Debit Card,24-08-22,Viaport Outlet,2700.72,46-55,August
I261972,C327628,Female,65,Clothing,5,1500.4,Cash,23-06-21,Metrocity,7502,56-65,June
I306056,C287498,Male,62,Shoes,5,3000.85,Cash,19-09-22,Kanyon,15004.25,56-65,September
I122918,C284825,Male,63,Food & Beverage,1,5.23,Cash,27-03-21,Istinye Park,5.23,56-65,March
I335206,C184989,Female,28,Cosmetics,1,40.66,Credit Card,30-06-22,Metrocity,40.66,26-35,June
I146120,C204254,Female,55,Clothing,5,1500.4,Cash,15-03-21,Metrocity,7502,46-55,March
I219733,C807258,Female,33,Clothing,1,300.08,Credit Card,11-07-22,Kanyon,300.08,26-35,July
I216465,C265692,Male,69,Shoes,5,3000.85,Debit Card,02-09-21,Metrocity,15004.25,65+,September
I728782,C178141,Male,23,Clothing,2,600.16,Cash,25-07-22,Metropol AVM,1200.32,18-25,July
I664450,C139930,Male,53,Cosmetics,4,162.64,Credit Card,11-12-22,Viaport Outlet,650.56,46-55,December
I755160,C119930,Female,25,Shoes,2,1200.34,Credit Card,11-07-21,Mall of Istanbul,2400.68,18-25,July
I465896,C285067,Female,26,Cosmetics,3,121.98,Credit Card,16-06-22,Viaport Outlet,365.94,26-35,June
I455470,C100281,Female,38,Clothing,2,600.16,Debit Card,26-02-23,Kanyon,1200.32,36-45,February
I104616,C230484,Male,23,Food & Beverage,5,26.15,Credit Card,29-11-22,Cevahir AVM,130.75,18-25,November
I421115,C119253,Female,42,Cosmetics,5,203.3,Cash,02-12-22,Kanyon,1016.5,36-45,December
I335130,C254330,Male,23,Toys,2,71.68,Credit Card,21-01-23,Metrocity,143.36,18-25,January
I707908,C169121,Male,57,Toys,1,35.84,Credit Card,22-11-22,Emaar Square Mall,35.84,56-65,November
I740465,C251727,Male,48,Toys,4,143.36,Credit Card,30-01-23,Zorlu Center,573.44,46-55,January
I299724,C299801,Female,58,Clothing,3,900.24,Debit Card,30-11-21,Cevahir AVM,2700.72,56-65,November
I332110,C475192,Female,54,Souvenir,2,23.46,Cash,26-02-23,Istinye Park,46.92,46-55,February
I890614,C170746,Female,33,Cosmetics,2,81.32,Cash,16-05-22,Mall of Istanbul,162.64,26-35,May
I233912,C358381,Female,44,Clothing,5,1500.4,Debit Card,23-06-22,Mall of Istanbul,7502,36-45,June
I336199,C153208,Female,28,Clothing,4,1200.32,Cash,09-08-22,Cevahir AVM,4801.28,26-35,August
I177010,C760962,Male,43,Clothing,1,300.08,Cash,30-10-22,Viaport Outlet,300.08,36-45,October
I920319,C307627,Female,39,Clothing,5,1500.4,Cash,13-09-21,Kanyon,7502,36-45,September
I197540,C319023,Male,49,Clothing,3,900.24,Cash,30-01-21,Kanyon,2700.72,46-55,January
I319774,C103765,Female,55,Technology,4,4200,Debit Card,30-07-22,Viaport Outlet,16800,46-55,July
I181700,C174442,Female,26,Souvenir,2,23.46,Credit Card,29-06-22,Metrocity,46.92,26-35,June
I140559,C411773,Male,26,Shoes,1,600.17,Cash,08-02-23,Mall of Istanbul,600.17,26-35,February
I198423,C877744,Female,54,Souvenir,2,23.46,Cash,04-10-21,Istinye Park,46.92,46-55,October
I174086,C287160,Male,61,Cosmetics,4,162.64,Credit Card,25-06-21,Mall of Istanbul,650.56,56-65,June
I136787,C265237,Male,29,Food & Beverage,5,26.15,Cash,01-08-21,Kanyon,130.75,26-35,August
I491884,C358653,Male,59,Toys,1,35.84,Credit Card,01-03-21,Mall of Istanbul,35.84,56-65,March
I287613,C220677,Female,19,Clothing,5,1500.4,Debit Card,27-06-21,Metropol AVM,7502,18-25,June
I619651,C290871,Female,20,Clothing,4,1200.32,Credit Card,19-03-21,Viaport Outlet,4801.28,18-25,March
I929730,C318743,Female,47,Toys,3,107.52,Cash,30-06-21,Istinye Park,322.56,46-55,June
I327317,C114165,Female,25,Shoes,4,2400.68,Debit Card,17-08-21,Zorlu Center,9602.72,18-25,August
I740142,C730794,Male,65,Cosmetics,2,81.32,Cash,08-05-21,Istinye Park,162.64,56-65,May
I330012,C337687,Male,45,Technology,5,5250,Cash,09-02-21,Metrocity,26250,36-45,February
I288332,C257830,Male,23,Food & Beverage,1,5.23,Credit Card,01-06-22,Mall of Istanbul,5.23,18-25,June
I579125,C152756,Female,50,Toys,1,35.84,Cash,05-02-23,Metrocity,35.84,46-55,February
I251386,C278865,Male,25,Clothing,4,1200.32,Debit Card,17-09-22,Kanyon,4801.28,18-25,September
I895608,C408548,Female,46,Clothing,3,900.24,Credit Card,08-12-22,Metrocity,2700.72,46-55,December
I752037,C226763,Male,24,Clothing,4,1200.32,Debit Card,05-04-21,Mall of Istanbul,4801.28,18-25,April
I296228,C139272,Male,54,Clothing,5,1500.4,Credit Card,05-10-22,Cevahir AVM,7502,46-55,October
I804135,C146617,Female,40,Technology,2,2100,Credit Card,19-10-22,Emaar Square Mall,4200,36-45,October
I246549,C243379,Female,55,Food & Beverage,3,15.69,Debit Card,06-02-21,Zorlu Center,47.07,46-55,February
I122830,C501132,Male,18,Clothing,5,1500.4,Credit Card,24-11-21,Mall of Istanbul,7502,<18,November
I121964,C663779,Male,32,Food & Beverage,2,10.46,Cash,07-03-21,Viaport Outlet,20.92,26-35,March
I543803,C736634,Female,27,Food & Beverage,3,15.69,Debit Card,26-03-22,Mall of Istanbul,47.07,26-35,March
I337982,C170653,Male,42,Cosmetics,4,162.64,Cash,20-10-21,Kanyon,650.56,36-45,October
I212133,C295673,Male,49,Toys,1,35.84,Debit Card,29-11-22,Metrocity,35.84,46-55,November
I366906,C300468,Male,24,Clothing,5,1500.4,Cash,13-11-22,Zorlu Center,7502,18-25,November
I173845,C111189,Male,29,Souvenir,1,11.73,Credit Card,12-01-21,Zorlu Center,11.73,26-35,January
